year,quarter,unemp
1948,1,3.7
1948,2,3.7
1948,3,3.8
1948,4,3.8
1949,1,4.7
1949,2,5.9
1949,3,6.7
1949,4,7.0
1950,1,6.4
1950,2,5.6
1950,3,4.6
1950,4,4.2
1951,1,3.5
1951,2,3.1
1951,3,3.2
1951,4,3.4
1952,1,3.1
1952,2,3.0
1952,3,3.2
1952,4,2.8
1953,1,2.7
1953,2,2.6
1953,3,2.7
1953,4,3.7
1954,1,5.3
1954,2,5.8
1954,3,6.0
1954,4,5.3
1955,1,4.7
1955,2,4.4
1955,3,4.1
1955,4,4.2
1956,1,4.0
1956,2,4.2
1956,3,4.1
1956,4,4.1
1957,1,3.9
1957,2,4.1
1957,3,4.2
1957,4,4.9
1958,1,6.3
1958,2,7.4
1958,3,7.3
1958,4,6.4
1959,1,5.8
1959,2,5.1
1959,3,5.3
1959,4,5.6
1960,1,5.1
1960,2,5.2
1960,3,5.5
1960,4,6.3
1961,1,6.8
1961,2,7.0
1961,3,6.8
1961,4,6.2
1962,1,5.6
1962,2,5.5
1962,3,5.6
1962,4,5.5
1963,1,5.8
1963,2,5.7
1963,3,5.5
1963,4,5.6
1964,1,5.5
1964,2,5.2
1964,3,5.0
1964,4,5.0
1965,1,4.9
1965,2,4.7
1965,3,4.4
1965,4,4.1
1966,1,3.9
1966,2,3.8
1966,3,3.8
1966,4,3.7
1967,1,3.8
1967,2,3.8
1967,3,3.8
1967,4,3.9
1968,1,3.7
1968,2,3.6
1968,3,3.5
1968,4,3.4
1969,1,3.4
1969,2,3.4
1969,3,3.6
1969,4,3.6
1970,1,4.2
1970,2,4.8
1970,3,5.2
1970,4,5.8
1971,1,5.9
1971,2,5.9
1971,3,6.0
1971,4,5.9
1972,1,5.8
1972,2,5.7
1972,3,5.6
1972,4,5.4
1973,1,4.9
1973,2,4.9
1973,3,4.8
1973,4,4.8
1974,1,5.1
1974,2,5.2
1974,3,5.6
1974,4,6.6
1975,1,8.3
1975,2,8.9
1975,3,8.5
1975,4,8.3
1976,1,7.7
1976,2,7.6
1976,3,7.7
1976,4,7.8
1977,1,7.5
1977,2,7.1
1977,3,6.9
1977,4,6.7
1978,1,6.3
1978,2,6.0
1978,3,6.0
1978,4,5.9
1979,1,5.9
1979,2,5.7
1979,3,5.9
1979,4,6.0
1980,1,6.3
1980,2,7.3
1980,3,7.7
1980,4,7.4
1981,1,7.4
1981,2,7.4
1981,3,7.4
1981,4,8.2
1982,1,8.8
1982,2,9.4
1982,3,9.9
1982,4,10.7
1983,1,10.4
1983,2,10.1
1983,3,9.4
1983,4,8.5
1984,1,7.9
1984,2,7.4
1984,3,7.4
1984,4,7.3
1985,1,7.2
1985,2,7.3
1985,3,7.2
1985,4,7.0
1986,1,7.0
1986,2,7.2
1986,3,7.0
1986,4,6.8
1987,1,6.6
1987,2,6.3
1987,3,6.0
1987,4,5.8
1988,1,5.7
1988,2,5.5
1988,3,5.5
1988,4,5.3
1989,1,5.2
1989,2,5.2
1989,3,5.2
1989,4,5.4
1990,1,5.3
1990,2,5.3
1990,3,5.7
1990,4,6.1
1991,1,6.6
1991,2,6.8
1991,3,6.9
1991,4,7.1
1992,1,7.4
1992,2,7.6
1992,3,7.6
1992,4,7.4
1993,1,7.1
1993,2,7.1
1993,3,6.8
1993,4,6.6
1994,1,6.6
1994,2,6.2
1994,3,6.0
1994,4,5.6
1995,1,5.5
1995,2,5.7
1995,3,5.7
1995,4,5.6
1996,1,5.5
1996,2,5.5
1996,3,5.3
1996,4,5.3
1997,1,5.2
1997,2,5.0
1997,3,4.9
1997,4,4.7
1998,1,4.6
1998,2,4.4
1998,3,4.5
1998,4,4.4
1999,1,4.3
1999,2,4.3
1999,3,4.2
1999,4,4.1
2000,1,4.0
2000,2,3.9
2000,3,4.0
2000,4,3.9
2001,1,4.2
2001,2,4.4
2001,3,4.8
2001,4,5.5
2002,1,5.7
2002,2,5.8
2002,3,5.7
2002,4,5.9
2003,1,5.9
2003,2,6.1
2003,3,6.1
2003,4,5.8
2004,1,5.7
2004,2,5.6
2004,3,5.4
2004,4,5.4
2005,1,5.3
2005,2,5.1
2005,3,5.0
2005,4,5.0
2006,1,4.7
2006,2,4.6
2006,3,4.6
2006,4,4.4
2007,1,4.5
2007,2,4.5
2007,3,4.7
2007,4,4.8
2008,1,5.0
2008,2,5.3
2008,3,6.0
2008,4,6.9
2009,1,8.3
2009,2,9.3
2009,3,9.6
2009,4,9.9
2010,1,9.8
2010,2,9.6
2010,3,9.5
2010,4,9.6
2011,1,9.0
2011,2,9.0
2011,3,9.1
2011,4,8.7
2012,1,8.3
2012,2,8.2
